modified categories
dhabas /fast food corners
diagnostic /suppliers
die works/su
diesel engines
dish works/shops
disposable cutlery
DJ systems
Doctors/clinics/hospitals
dog kennels / pet stores
drill machines
driving schools
drums/containers
dry cleaners
dry fruits
dupatta/ chunis
duree
dyers textile/leather
educational /tutorial services
educational trusts/ socities
electrical showrooms
electrical-motors/manufacturers
electro platings/ stamping
engineering works/ mechanical & electrical
engravers
event management
exporters / importers
fabricators
fabrics
farms / mariage palaces
fashion designing
fax machine repairs & sales
feed / fertilizer stores
fibers glass & sheets
film distributors & producers
filters- papers/ water
finance / loan services
fire extinguishers
fire works
fish merchants
fitness centres & gyms
fitness equipment suppliers / manufacturers
floors / carpets / furnishers
florists real & artificials
flour mills
foam products
food products
footwears 
forgings
foundry works / suppliers
fruit & vegetables suppliers
fuel injections pumps/ pipes
furnaces / oil suppliers
furniture manufacturers / suppliers
gadgets
garages
garden equipments
garments- manufacturers/ suppliers/ wholesalers & dealers
gas agencies
gas- industrial/ cutting/welding
gate grills
general & provision stores
generators - manufacturers/ repairs/ dealers
gift items/ callenders
glass & plywood
glow signs
government offices
grain merchants
graphic designers & studios
guest houses
gun houses
bags dealers 7 manufacturers
hairdressers/ saloon/ beauty parlours
hand pumps 
handtools manufacturer / suppliers/ traders
handicrafts & handlooms
hard chrome platings
hardware dealers/ manufacturers
health club & fitness equipments
health products
hearing & speech aids
herbal products
home appliances
hose & clips
hosiery-manufacturers/ wholesalers/ dealers
hospitals and surgial instruments 
hotels & motels
restaurants
household appliances
hydrolic & presses
ice cream and ice manufacturer / dealers
induction- heating equipments
insurance agents 
insurance companies
interior decorators
internet- services/ telephoning
web designers 
invertors & ups
investment and financial advisors
iron & steel dealers
jewellers
sarafs
artificial jewellery
juice bars & corners
jute and jute products
kitchen equipments 
knitting material
labels
laboratories 
laboratory instruments
lamination
language interpertors
leather & leather goods
lights and sounds
locks and keys
lottery ticket
lubricants
luggage
Machinery and industrial services
pharmaceuticals and pharmacy
magicians
manpower suppliers
marbel
marketing services
marketing machines
marriage beuro
martial arts instruction
mats and mattings
measurement tapes & instruments
meat / chicken shops
medical stores
homeopathic stores & doctors
meditation centres
mementoes and trophy
metal works
milk bars/ milk plants/ milk products
mill stores and machinery store
mineral water
mixing equipments
mobile phones
money exchangers
money transactions world
spare parts
mouldings
murabba/ gulukand/ syrups vinegar
music centres and groups
nail polish and remover
mehandi
news agencies
news paper and magazines
nickel platings
niwar / nylon/ cotton bamboo
non woven fabrics
nurseries-plants/trees/flowers
nursing institutes
office automation
oil
opticals and opticians
orchestras
oven and incubators
oxygen - medical and industrial
packers and movers
printers and stationers
paints 
raw materials
painters sign boards and general
pan shops / cigarette/ tobacco stores
paper dealers
patent and trade mark
pearls
pest control
pesticides
pet bottles/ empty bottles
petrol pumps
petroleum products
photos albums
photocopier dealers/ services
photo journalists
photo lamination
photo studios / digital photography
pickle and chatni
pipe/ pipe fittings
plaster of paris (POP)
plastic bags/ drums/ containers
plastic dealers
polishing material and machinery
poly clinic
polythene p
poultry farms and products
powder coatings
power tools
pressure cooker
printing inks and toners
processors
projectors 
property dealers
provident fund services
pumps and spares
PVC
radiators 
radium number plates
rail equipment and suppliers
rail ticket agents
refrigerators / freezer service and sales
registration / trade mark
reiki treatment 
religious books
research centre
restaurants and bars
rexine dealers
rice mills / sheller and parts
rolling shutters
rubber chappal/ industries
raw rubber and rubber chemicals
rumala/ chandaye/ chattar 
sanitary fittings
sanitation
saree dealers
saw mills
saria pmt/ tmt
scarf / cap  and folding items
scanning & diagnostic centres
karate trainers
schools uniforms
scientific instruments / chemicals
schools    
quilts
scrap merchants
security services providers
seeds 
sewing machines and parts
share brokers and dealers
shoe makers/ polish and accessories
shuttering stores 
shot blastings
silica and silicon products
singers and folk dancers
soaps and detergents
soft drink manufacturer and suppliers
solar energy equipment 
solvents
sound systems
south korean therapy machines
sports goods/ sports wear/ raw material
spray nozzels and spray products
springs
stainless steel
stamp papers and stamps
stamping
steel products
stickers
stove dealers
submersible pumps and spares
sugar and jaggery merchants
sugar machinery parts
surveyors
sweet shops 
swimming pools
switch gears
swords / dhalls
T.V. dealers / repairs
tailoring material
tailors and drapers
taxi services
tea dealers
teflon
telco service
telecom services
tele shoppings
telephone and tele communication
tent services / manufacturers
textiles 
thermocol
thermocouples
thinner / tarpentine oil
threads dealers
three wheelers dealers
tiles
timber merchants
ties dealers
tools 
tour and travels
toys and kites
tractors 
trade fairs
transformers
transmission and beltings
transport companies
trunks
tube wells
type writers
tyre and tube
uniforms
university / educational institution/ college
utensils
vacuum pumps/ cleaners
valuers
valves and cocks
vanaspati
venetian blinds
veterinary clinics
vibrators
video
voltage stabilizers
wall coverings / wall papers
washing machines
waste paper suppliers
watch and clocks
water- purifers/ chemicals/tanks/treatment/proofing
wedding cards/ boxes
wedding cards/ boxes
wedding material/ planners
weighing machines
welding
wheel allignments and balancing
wines and liquors
wires and cabels
wood works
wool
X-ray
yarn
zinc
abrasives grinding 
adhesive 
adoptors
advertisement
advocates
agarbati and dhoop dealers
agitators
agricultural machinery/ chemicals
agro industries
air compressors
air conditioners
air coolers
air hostess academy
airline agencies
alloy steel
alloy wheels
aluminium
alternators
amusement park
aquarium supplies
architects
art designers/ galleries
artificial flowers
artificial limbs / ortho
artists and designers commercial
astrologers and palmist / red book
audio cassettes and cds
authorised dealers - vehicles
auto denters and painters
auto financers/ insurers
auto dealers - sale/ purchase
automobile -parts/ accessories/ works
ayurvedic medicines / doctors
axles
badges/ belts/ emblems 
bakers and confectioners
"ball-steel, bronze "
bands / bangles
banks
bail codes 
bartan dealers
bathroom accessories
battery dealers
bearing dealers
beauty clinics / skin- doctors
parlour accessories
beltings and belts
bicycle-tricycle dealers
rickshaw works
bistar bhandar
blankets and shawls
blood banks
boiler
"bolts, nuts and fasteners"
bookbinders
book publishers and distributors
bottle caps
boutiques 
box manufacturer and dealers
brass products dealers
brick kilns 
brokers
brushes
builders / property developers & contractors
building material dealers
cabel dealers
carbons- fiber
card board
castings
caterers
cattle feed
CC TV systems
cement traders
ceragem
chains and sprockets
charted accountants
charitable trusts and hospitals
chemicals
chemists and druggists
cinema theatres
cloth merchants
clubs
coach body builders
coal dealers
cold storages and equipments
computers
company secretaries
communication centres
consultants 
consumer products dealers
contracting engineers
contractors
conveyor belts
cooking training institutes
cooling towers
copper dealers and products
couriers
crane services
crockeries
custom agents and consultants
cyber cafes
dairy appliances and equipments
dairy products
dancing schools
deed writers
dentists
dental equipment
dessert coolers
detective agencies
